Rec_ID,GeneID,Colour,Cell_Cycle_Cat,Cell_Cycle_Number,Gene_Induction,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,description,type_of_gene,Other_designations,Class
1,790958,Yellow,21-28,21,1,IGF2R,-,M6P/IGF2R,Ensembl:ENSOANG00000007296,2,insulin like growth factor 2 receptor,protein-coding,cation-independent mannose-6-phosphate receptor|mannose 6-phosphate/insulin-like growth factor 2 receptor,Animal
2,790961,Yellow,13-20,17,1,F10,-,-,Ensembl:ENSOANG00000015639,20,coagulation factor X,protein-coding,coagulation factor X,Animal
3,791100,Yellow,13-20,19,1,CFD,-,-,Ensembl:ENSOANG00000009191,X1,complement factor D,protein-coding,complement factor D|adipsin,Animal
4,791101,Green,21-28,28,0,SPA17,-,-,Ensembl:ENSOANG00000040613,11,sperm autoantigenic protein 17,protein-coding,sperm surface protein Sp17,Animal
5,791102,Red,13-20,16,1,IGF2,-,-,Ensembl:ENSOANG00000047292,3,insulin like growth factor 2,protein-coding,insulin-like growth factor II|insulin-like growth factor 2 (somatomedin A),Animal
6,791103,Green,13-20,18,1,GZMB,-,-,Ensembl:ENSOANG00000001417,13,"granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)",protein-coding,granzyme B,Animal
7,791104,Yellow,13-20,13,1,B2M,-,-,Ensembl:ENSOANG00000001539,8,beta-2-microglobulin,protein-coding,beta-2-microglobulin,Animal
8,791108,Red,13-20,15,1,HPRT1,-,-,Ensembl:ENSOANG00000011689,6,hypoxanthine phosphoribosyltransferase 1,protein-coding,hypoxanthine-guanine phosphoribosyltransferase,Animal
9,791109,Yellow,21-28,22,1,CRYAB,-,-,-,11,crystallin alpha B,protein-coding,alpha-crystallin B chain|HspB5 protein,Animal
10,791110,Yellow,13-20,17,1,CRYAA,-,-,Ensembl:ENSOANG00000006464,18,crystallin alpha A,protein-coding,alpha-crystallin A chain,Animal
11,791111,Green,13-20,19,1,SULT1A,-,-,Ensembl:ENSOANG00000009695,2,sulfotransferase SULT1A,protein-coding,sulfotransferase SULT1A,Animal
12,791112,Yellow,13-20,18,1,LDHA,-,-,Ensembl:ENSOANG00000048733,3,lactate dehydrogenase A,protein-coding,L-lactate dehydrogenase A chain|upsilon-crystallin,Animal
13,791113,Red,21-28,27,1,LOC791113,-,-,Ensembl:ENSOANG00000009191,X1,neutrophil elastase,protein-coding,neutrophil elastase|N-elastase,Animal
14,791258,Red,13-20,17,1,DRP2,-,-,Ensembl:ENSOANG00000004217,6,dystrophin related protein 2,protein-coding,dystrophin-related protein 2,Animal
15,808698,Yellow,13-20,16,1,ND4L,-,-,-,MT,NADH dehydrogenase subunit 4L,protein-coding,-,Animal
16,808699,Red,13-20,14,1,ND4,-,-,-,MT,NADH dehydrogenase subunit 4,protein-coding,-,Animal
17,808700,Yellow,13-20,16,1,ND2,-,-,-,MT,NADH dehydrogenase subunit 2,protein-coding,-,Animal
18,808701,Red,21-28,22,1,ND5,-,-,-,MT,NADH dehydrogenase subunit 5,protein-coding,-,Animal
19,808702,Red,21-28,21,1,ATP8,-,-,-,MT,ATP synthase F0 subunit 8,protein-coding,-,Animal
20,808703,Red,13-20,18,1,CYTB,-,-,-,MT,cytochrome b,protein-coding,-,Animal
21,808704,Yellow,21-28,23,0,COX1,-,-,-,MT,cytochrome c oxidase subunit I,protein-coding,-,Animal
22,808705,Red,13-20,16,1,ATP6,-,-,-,MT,ATP synthase F0 subunit 6,protein-coding,-,Animal
23,808706,Yellow,5-12,7,0,ND6,-,-,-,MT,NADH dehydrogenase subunit 6,protein-coding,-,Animal
24,808707,Red,5-12,12,0,COX3,-,-,-,MT,cytochrome c oxidase subunit III,protein-coding,-,Animal
25,808708,Yellow,21-28,26,1,ND1,-,-,-,MT,NADH dehydrogenase subunit 1,protein-coding,-,Animal
26,808709,Red,13-20,19,1,COX2,-,-,-,MT,cytochrome c oxidase subunit II,protein-coding,-,Animal
27,808710,Yellow,13-20,19,1,ND3,-,-,-,MT,NADH dehydrogenase subunit 3,protein-coding,-,Animal
28,4711730,Red,13-20,20,1,NEWENTRY,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Platypus anatinus; duck-billed platypus; duckbill platypus; platypus).,other,-,Animal
29,100048938,Red,13-20,15,1,OPN1LW,-,-,Ensembl:ENSOANG00000011023,6,"opsin 1 (cone pigments), long-wave-sensitive",protein-coding,"red-sensitive opsin|long wavelength sensitive opsin|opsin 1 (cone pigments), long-wave-sensitive (color blindness, protan)",Animal
30,100048939,Red,13-20,20,1,OPN1SW2,-,-,Ensembl:ENSOANG00000037077,6,"opsin 1, short wavelength sensitive 2",protein-coding,"opsin 1, short wavelength sensitive 2",Animal
31,100048940,Red,21-28,25,1,RHO,-,-,Ensembl:ENSOANG00000003778,X1,rhodopsin,protein-coding,rhodopsin,Animal
32,100073352,Yellow,21-28,26,0,ADGRB3,-,BAI3,-,1,adhesion G protein-coupled receptor B3,protein-coding,adhesion G protein-coupled receptor B3|brain-specific angiogenesis inhibitor 3,Animal
33,100073353,Yellow,21-28,23,0,RBP1,-,-,Ensembl:ENSOANG00000002683,1,retinol binding protein 1,protein-coding,"retinol-binding protein 1|retinol binding protein 1, cellular",Animal
34,100073354,Yellow,21-28,26,1,LPIN1,-,-,Ensembl:ENSOANG00000002670,1,lipin 1,protein-coding,phosphatidate phosphatase LPIN1,Animal
